name,line
giannakisftw,b'that ? ping at the end xD'
giannakisftw,b'IKR!!!!'
giannakisftw,"b'what react do i need to get this good boy into the oven? I I MEAN, here, have a like'"
giannakisftw,b'helen confirms'
giannakisftw,b'https://tenor.com/view/yes-lawd-my-precious-gif-13073178'
giannakisftw,b'i wanna see any of those nowday monkeys that they call them selves singers sing like her'
giannakisftw,b'teh textorcist'
giannakisftw,b'and they are working to make the cell ring? xD'
giannakisftw,b'brb flossing time'
giannakisftw,b'enjoy ^^'
giannakisftw,b'https://media.discordapp.net/attachments/380135384564105227/647888274660261898/IMG_20191123_200943.jpg?width=884&height=663'
giannakisftw,"b""a giant green/mossy  titan emerged out of no where and enslaved the whole humanity. it forced us to rebuilt earth, and had us taking care of plants and trees all over the world. in matter of few years the whole planet turned green like u see in apocalypse-themed movies where towns turned into jungles, due to lack of human activity. few years later i found a way to sneak away from monsters sigh and i discovered a portal-like thingy. apparently, the mossy titan trapped us in an alternate reality, and pass through the portal is our real world.\ni rallied up humanity ( whitch for some reason , the whole population it was ~20 ppl ) and made out a plan to escape the fake earth-\nas we were about to escape , the titan burst into tears. apperently, the titan was earth's spirit, full of mother instict. humans ruining plants and trees, made mother earth, having no kids to take care off, so it felt empty. \n\n1 would say, the mother earth enslaved humanity to restore flora on earth- her kids, but noooooooo, the mother earth enslaved humanity, and treated humanity as her kids. yep. she gave 0 shit about plants, she just wanted to be a mother figure towards something. she forced us to re-build flora on earth, just to distract us from the truth.\n\nas the truth was revealed, humanity pittied mother earth, and we promised to help rebuild flora on real earth, so mother earth has something to be a mother figure towards."""
giannakisftw,"b'i had a dream at platres: i finally went to a therapist for my lonelyness issues. the doctor prescribed me as medication that i should llive in france for the next 2 years, all expenses payed by the goverment.\nso i did so. i packed my shit, and took the teleferik from nicosia to paris.'"
giannakisftw,"b'the words and shit, will be triple checked to make sure i will not make typos xD'"
giannakisftw,b'https://www.youtube.com/watch?v=RTvh-KPYFDA'
giannakisftw,"b'well, u were'"
giannakisftw,"b'jo! if u kick me out of here, i will pm u my nudes EVERY morning'"
giannakisftw,b'helen has a death wish xD'
giannakisftw,b'eksiasa ta abilities tou etc.... xD'
giannakisftw,b'thats what u gonna get me for my bday!? poh! how sweet!! ty \xe2\x9d\xa4'
giannakisftw,"b'yep, and it will finish 1000 expansion later when the 16th hokage, sjj7 goku finds one piece'"
giannakisftw,b'0.o am i missing something? isnt it the same as swimming at the beach?'
giannakisftw,b'https://www.youtube.com/watch?v=BBtnLznwZW4'
giannakisftw,b'if i fap to this u will not bonk me right?'
giannakisftw,"b'( or avatar the last airbender , if u consider it an anime )'"
giannakisftw,"b'i will wish you, potatoes!  k, thx bye'"
giannakisftw,b'Damn... months has pass fast 0.o'
giannakisftw,b'lol'
giannakisftw,"b'how can mirrors be real, if your eyes are not real'"
giannakisftw,b'i think kingdom:classic is free'
giannakisftw,b'<@&487203575655563265>  or meh?'
giannakisftw,b'if any oen is curious how it actually looks etc'
giannakisftw,b'the PERFECT cell ring xD'
giannakisftw,b'and gave up midway of s1'
giannakisftw,b'u sure this shouldnt belong in <#587320048952147978> ? xD'
giannakisftw,b'enjoy'
giannakisftw,b'lol.... thats how u know its an authentic glen! TM'
giannakisftw,b'https://tenor.com/view/begone-thot-beetle-battle-meme-gif-11344107'
giannakisftw,b'^'
giannakisftw,b'when modders doing better job than the devs \xf0\x9f\x98\x9b'
giannakisftw,b'Have been friends*'
giannakisftw,b'spoiled for obvius reasons'
giannakisftw,b'just googled it. i did not'
giannakisftw,b'the fuck?'
giannakisftw,b'i am gonna table flip'
giannakisftw,b'check the other channel'
giannakisftw,b'what freat depression looks like * picture of us * kappa'
giannakisftw,"b'ok, this is the last week of the summer.... biatch or not!?!?!?!/'"
giannakisftw,b'https://media.discordapp.net/attachments/380135384564105227/647888470945300482/IMG_20191123_201541.jpg?width=497&height=662'
giannakisftw,b'https://www.bazaraki.com/adv/2270717_900m2-luxury-residence-in-strovolos-with-remarkable-view/'
